Employee_ID,Age,Gender,Department,Job_Role,Salary,Experience_Years,Performance_Rating,Overtime,Attrition
1001,48,Female,Finance,Accountant,101448,23,1,Yes,Yes
1002,30,Female,IT,Data Scientist,55393,7,2,No,No
1003,39,Male,Sales,Business Development,82137,12,3,No,No
1004,50,Male,Operations,Coordinator,119439,21,5,Yes,No
1005,37,Female,Sales,Sales Executive,68604,7,4,No,No
1006,59,Female,Marketing,Marketing Executive,149178,35,4,No,No
1007,24,Female,Sales,Sales Manager,49205,0,2,Yes,No
1008,25,Female,Operations,Coordinator,32405,0,5,Yes,No
1009,43,Female,Sales,Sales Executive,108642,17,2,Yes,Yes
1010,45,Female,Marketing,Content Strategist,79168,15,4,Yes,No
1011,25,Female,Finance,Finance Manager,30597,0,3,Yes,No
1012,24,Male,Marketing,Content Strategist,29178,0,4,No,No
1013,52,Male,Sales,Sales Executive,123670,23,5,No,No
1014,37,Female,Sales,Business Development,83275,13,5,Yes,No
1015,24,Male,Marketing,Content Strategist,34303,0,3,Yes,No
1016,31,Male,IT,Data Scientist,64891,6,2,Yes,No
1017,48,Male,Marketing,SEO Specialist,104523,19,4,Yes,No
1018,32,Female,IT,System Admin,40289,5,5,No,No
1019,57,Female,Finance,Accountant,150705,29,1,No,No
1020,27,Male,Sales,Sales Manager,25000,0,3,No,No
1021,49,Female,Sales,Sales Executive,102951,20,2,No,No
1022,47,Female,Marketing,Marketing Executive,109399,23,2,No,No
1023,52,Female,Marketing,Content Strategist,117073,26,2,No,No
1024,56,Female,IT,Data Analyst,139053,34,3,No,No
1025,43,Male,Marketing,Content Strategist,76484,14,1,Yes,No
1026,43,Female,IT,Software Engineer,63160,13,5,No,No
1027,23,Male,Marketing,SEO Specialist,40163,0,1,No,No
1028,48,Male,Marketing,SEO Specialist,123213,21,3,No,No
1029,28,Male,Operations,Operations Manager,39077,4,3,No,No
1030,26,Male,HR,Recruiter,46406,0,3,No,No
1031,38,Male,Sales,Sales Executive,61750,11,4,Yes,No
1032,56,Male,HR,HR Manager,143209,27,5,No,No
1033,43,Male,Operations,Operations Executive,78452,15,3,No,No
1034,53,Female,IT,Data Analyst,133689,28,5,No,Yes
1035,58,Female,IT,System Admin,123898,31,3,No,Yes
1036,22,Male,Marketing,Marketing Executive,28968,0,4,No,Yes
1037,41,Male,Finance,Financial Analyst,71648,13,1,No,No
1038,59,Male,HR,HR Executive,168107,37,2,Yes,No
1039,60,Male,Operations,Operations Manager,137065,32,5,Yes,No
1040,35,Female,Sales,Business Development,56932,6,3,Yes,Yes
1041,45,Female,IT,Software Engineer,93976,20,5,Yes,No
1042,36,Female,Sales,Sales Executive,85479,13,1,No,No
1043,28,Male,IT,Data Scientist,36087,3,3,Yes,No
1044,49,Female,Sales,Sales Executive,110222,23,3,No,No
1045,42,Female,Sales,Sales Executive,86659,12,5,Yes,No
1046,43,Female,IT,Software Engineer,105699,20,1,Yes,Yes
1047,27,Male,IT,System Admin,25000,0,1,No,No
1048,55,Male,HR,Recruiter,122592,28,4,No,No
1049,41,Female,IT,Data Analyst,70713,14,5,No,No
1050,32,Female,Sales,Sales Executive,47271,4,3,Yes,Yes
1051,54,Male,IT,Data Scientist,129587,31,2,Yes,Yes
1052,48,Male,Marketing,Content Strategist,115504,23,5,No,No
1053,27,Male,Marketing,Marketing Executive,30294,2,4,No,No
1054,25,Female,Sales,Business Development,33459,0,5,No,No
1055,53,Male,HR,HR Executive,125389,28,3,Yes,No
1056,57,Male,HR,HR Manager,128979,32,5,Yes,No
1057,37,Female,Sales,Business Development,68963,13,3,Yes,No
1058,47,Female,IT,Data Scientist,111211,19,2,No,No
1059,41,Male,IT,System Admin,83404,12,1,Yes,Yes
1060,23,Male,HR,HR Executive,35803,0,2,No,No
1061,53,Female,IT,Data Scientist,126333,29,5,Yes,No
1062,37,Female,Sales,Business Development,77993,9,5,No,Yes
1063,52,Male,Finance,Financial Analyst,119010,23,4,No,No
1064,43,Male,Marketing,Marketing Executive,82836,14,4,No,No
1065,28,Male,Finance,Accountant,53684,4,4,No,No
1066,52,Male,Sales,Business Development,112863,22,2,No,No
1067,34,Female,Sales,Sales Manager,62598,5,3,Yes,No
1068,32,Female,HR,Recruiter,64337,9,1,Yes,No
1069,56,Female,Sales,Sales Executive,146275,28,4,No,No
1070,59,Female,Marketing,Content Strategist,158978,36,4,Yes,No
1071,32,Male,Finance,Financial Analyst,59202,5,4,Yes,Yes
1072,59,Male,Marketing,Marketing Executive,139461,35,1,No,No
1073,28,Male,Marketing,Content Strategist,41266,3,5,No,No
1074,52,Female,Sales,Sales Manager,152350,30,4,Yes,No
1075,58,Male,Marketing,SEO Specialist,131931,32,2,No,No
1076,51,Male,IT,Data Scientist,133659,24,5,No,No
1077,38,Male,HR,Recruiter,66378,11,2,Yes,Yes
1078,43,Female,IT,Data Scientist,78982,17,2,No,No
1079,26,Male,Operations,Operations Manager,49511,0,2,Yes,Yes
1080,49,Female,Finance,Accountant,137298,27,5,Yes,No
1081,23,Female,Sales,Sales Manager,31692,0,5,No,No
1082,36,Male,Operations,Coordinator,68690,14,2,No,No
1083,34,Male,Marketing,SEO Specialist,38313,4,5,No,No
1084,35,Male,Operations,Operations Manager,73111,9,2,Yes,No
1085,36,Female,Operations,Operations Manager,54048,10,1,Yes,No
1086,44,Female,Operations,Operations Manager,88508,19,4,Yes,Yes
1087,59,Female,Sales,Business Development,141324,33,2,No,No
1088,30,Male,Finance,Finance Manager,25206,0,3,Yes,No
1089,44,Male,Marketing,Content Strategist,97613,14,3,Yes,Yes
1090,53,Male,IT,Data Scientist,121479,27,4,No,No
